['time', 'x', 'y', 'z']
['1731068351.96', '10674.7484433', '10674.7279593', '0.0']
['1731068352.46', '10675.0397174', '10675.3920184', '0.0']
['1731068352.96', '10675.5693867', '10675.422345', '0.0']
['1731068353.46', '10675.7408', '10675.3756656', '0.0']
['1731068353.96', '10675.7493223', '10675.7772408', '0.0']
['1731068354.46', '10675.4155735', '10675.6589185', '0.0']
['1731068354.96', '10675.8970451', '10675.7792123', '0.0']
['1731068355.46', '10676.3665542', '10675.7864332', '0.0']
['1731068355.96', '10675.9806721', '10675.8844138', '0.0']
['1731068356.46', '10676.0129616', '10676.5030646', '0.0']
['1731068356.96', '10676.6745217', '10676.5906067', '0.0']
['1731068357.46', '10676.7126452', '10676.7295071', '0.0']
['1731068357.96', '10676.642701', '10676.9577684', '0.0']
['1731068358.46', '10677.3272156', '10676.9136416', '0.0']
['1731068358.96', '10677.2013986', '10677.4846121', '0.0']
['1731068359.47', '10677.0581154', '10677.4446575', '0.0']
['1731068359.97', '10677.604736', '10677.2242378', '0.0']
['1731068360.47', '10677.7351234', '10677.2268687', '0.0']
['1731068360.97', '10677.5164225', '10677.624233', '0.0']
['1731068361.47', '10677.8875151', '10678.2495357', '0.0']
['1731068361.97', '10678.1995535', '10677.6721567', '0.0']
['1731068362.47', '10678.5499648', '10677.8427637', '0.0']
['1731068362.97', '10678.016835', '10678.6479451', '0.0']
['1731068363.47', '10678.719723', '10678.83693', '0.0']
['1731068363.97', '10678.8113934', '10678.7345206', '0.0']
['1731068364.47', '10678.5266095', '10679.1011786', '0.0']
['1731068364.97', '10679.0863853', '10678.5624798', '0.0']
['1731068365.47', '10679.0548359', '10679.0264005', '0.0']
['1731068365.97', '10679.1038788', '10679.1910404', '0.0']
['1731068366.47', '10679.2155626', '10679.5799037', '0.0']
['1731068366.97', '10679.414395', '10679.5615575', '0.0']
['1731068367.47', '10679.565528', '10679.8273792', '0.0']
['1731068367.98', '10680.1851499', '10679.7747842', '0.0']
['1731068368.48', '10680.0519236', '10679.6716807', '0.0']
['1731068368.98', '10679.8631591', '10680.4925355', '0.0']
['1731068369.48', '10679.959855', '10680.318563', '0.0']
['1731068369.98', '10680.5692041', '10680.2175334', '0.0']
['1731068370.48', '10680.4573776', '10680.2019808', '0.0']
['1731068370.98', '10681.0456865', '10680.876472', '0.0']
['1731068371.48', '10680.6121357', '10680.6515835', '0.0']
['1731068371.98', '10680.7306149', '10681.1755887', '0.0']
['1731068372.48', '10681.3620065', '10681.338618', '0.0']
['1731068372.98', '10681.0649583', '10681.5673416', '0.0']
['1731068373.48', '10681.8115618', '10681.6959163', '0.0']
['1731068373.98', '10681.535011', '10681.4857784', '0.0']
['1731068374.48', '10681.8898451', '10681.4025991', '0.0']
['1731068374.98', '10681.584011', '10682.0936198', '0.0']
['1731068375.48', '10682.0326121', '10682.4008159', '0.0']
['1731068375.98', '10681.9405421', '10682.2894194', '0.0']
['1731068376.48', '10682.7300495', '10682.1188062', '0.0']
['1731068376.98', '10682.2990555', '10682.8478434', '0.0']
['1731068377.49', '10682.8982734', '10682.3047892', '0.0']
['1731068377.99', '10682.6910369', '10682.8053808', '0.0']
['1731068378.49', '10682.7173138', '10682.7982829', '0.0']
['1731068378.99', '10682.886055', '10683.3119392', '0.0']
['1731068379.49', '10682.9303961', '10682.9401707', '0.0']
['1731068379.99', '10683.2374946', '10683.5757959', '0.0']
['1731068380.49', '10683.9442172', '10683.5259769', '0.0']
['1731068380.99', '10683.8511158', '10683.5352548', '0.0']
['1731068381.49', '10683.732464', '10683.8654098', '0.0']
['1731068381.99', '10684.0387784', '10684.3820601', '0.0']
['1731068382.49', '10684.0294312', '10684.2252715', '0.0']
['1731068382.99', '10684.0898996', '10684.2329115', '0.0']
['1731068383.49', '10684.2433098', '10684.2623056', '0.0']
['1731068383.99', '10684.4839517', '10684.3473261', '0.0']
['1731068384.49', '10684.9654659', '10684.7373307', '0.0']
['1731068384.99', '10684.9695452', '10685.2248233', '0.0']
['1731068385.49', '10684.9208971', '10685.2581026', '0.0']
['1731068385.99', '10684.9575309', '10685.4669201', '0.0']
['1731068386.49', '10685.745882', '10685.3496809', '0.0']
['1731068386.99', '10685.2939311', '10685.5939081', '0.0']
['1731068387.49', '10685.9492354', '10685.8850651', '0.0']
['1731068387.99', '10686.1938837', '10686.1629656', '0.0']
['1731068388.5', '10686.2924682', '10686.1732885', '0.0']
['1731068389.0', '10685.9082112', '10686.4338003', '0.0']
['1731068389.5', '10686.206045', '10686.0793711', '0.0']
['1731068390.0', '10686.6401237', '10686.1901586', '0.0']
['1731068390.5', '10686.6921122', '10686.4376132', '0.0']
['1731068391.0', '10686.8616614', '10686.4421625', '0.0']
['1731068391.5', '10686.8823278', '10686.8988919', '0.0']
['1731068392.0', '10687.3200456', '10687.2769993', '0.0']
['1731068392.5', '10687.2773481', '10687.4203995', '0.0']
['1731068393.0', '10687.1223786', '10687.5037074', '0.0']
['1731068393.5', '10687.6121653', '10687.4491949', '0.0']
['1731068394.0', '10687.5607395', '10687.7489345', '0.0']
['1731068394.5', '10687.4628351', '10687.6474411', '0.0']
['1731068395.0', '10688.0543266', '10687.6063573', '0.0']
['1731068395.5', '10687.8612395', '10687.9827514', '0.0']
['1731068396.0', '10688.1091033', '10688.0602325', '0.0']
['1731068396.5', '10688.5032543', '10688.4143575', '0.0']
['1731068397.0', '10688.2197493', '10688.8755263', '0.0']
['1731068397.5', '10688.3125418', '10688.9150944', '0.0']
