1731067770.592102456: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067848.249691053: 64 bytes from 192.168.6.12: icmp_seq=156 ttl=63 time=2.04 ms
1731067848.750359275: 64 bytes from 192.168.6.12: icmp_seq=157 ttl=63 time=1.65 ms
1731067849.252466006: 64 bytes from 192.168.6.12: icmp_seq=158 ttl=63 time=2.83 ms
1731067849.752802399: 64 bytes from 192.168.6.12: icmp_seq=159 ttl=63 time=1.72 ms
1731067850.253430563: 64 bytes from 192.168.6.12: icmp_seq=160 ttl=63 time=2.40 ms
1731067850.759943063: 64 bytes from 192.168.6.12: icmp_seq=161 ttl=63 time=7.65 ms
1731067851.255737346: 64 bytes from 192.168.6.12: icmp_seq=162 ttl=63 time=2.15 ms
1731067851.756490944: 64 bytes from 192.168.6.12: icmp_seq=163 ttl=63 time=2.36 ms
1731067852.258326959: 64 bytes from 192.168.6.12: icmp_seq=164 ttl=63 time=2.34 ms
1731067852.758801008: 64 bytes from 192.168.6.12: icmp_seq=165 ttl=63 time=2.75 ms
1731067853.260215698: 64 bytes from 192.168.6.12: icmp_seq=166 ttl=63 time=2.85 ms
1731067853.761312154: 64 bytes from 192.168.6.12: icmp_seq=167 ttl=63 time=2.59 ms
1731067854.262941944: 64 bytes from 192.168.6.12: icmp_seq=168 ttl=63 time=2.43 ms
1731067854.763393656: 64 bytes from 192.168.6.12: icmp_seq=169 ttl=63 time=2.13 ms
1731067855.271114181: 64 bytes from 192.168.6.12: icmp_seq=170 ttl=63 time=9.68 ms
1731067855.764766508: 64 bytes from 192.168.6.12: icmp_seq=171 ttl=63 time=2.39 ms
1731067856.266613831: 64 bytes from 192.168.6.12: icmp_seq=172 ttl=63 time=2.38 ms
1731067856.767014330: 64 bytes from 192.168.6.12: icmp_seq=173 ttl=63 time=1.70 ms
1731067857.268080916: 64 bytes from 192.168.6.12: icmp_seq=174 ttl=63 time=2.58 ms
1731067857.769765924: 64 bytes from 192.168.6.12: icmp_seq=175 ttl=63 time=2.05 ms
1731067858.269889875: 64 bytes from 192.168.6.12: icmp_seq=176 ttl=63 time=1.80 ms
1731067858.773810607: 64 bytes from 192.168.6.12: icmp_seq=177 ttl=63 time=3.44 ms
1731067859.272608265: 64 bytes from 192.168.6.12: icmp_seq=178 ttl=63 time=2.00 ms
1731067859.775428551: 64 bytes from 192.168.6.12: icmp_seq=179 ttl=63 time=3.65 ms
1731067860.275130732: 64 bytes from 192.168.6.12: icmp_seq=180 ttl=63 time=2.70 ms
1731067860.775984163: 64 bytes from 192.168.6.12: icmp_seq=181 ttl=63 time=1.57 ms
1731067861.276662244: 64 bytes from 192.168.6.12: icmp_seq=182 ttl=63 time=1.55 ms
1731067861.777948800: 64 bytes from 192.168.6.12: icmp_seq=183 ttl=63 time=2.18 ms
1731067862.278346800: 64 bytes from 192.168.6.12: icmp_seq=184 ttl=63 time=2.04 ms
1731067862.779981517: 64 bytes from 192.168.6.12: icmp_seq=185 ttl=63 time=1.98 ms
1731067863.280394723: 64 bytes from 192.168.6.12: icmp_seq=186 ttl=63 time=1.88 ms
1731067863.781574900: 64 bytes from 192.168.6.12: icmp_seq=187 ttl=63 time=2.48 ms
1731067864.283864984: 64 bytes from 192.168.6.12: icmp_seq=188 ttl=63 time=3.63 ms
1731067864.783021099: 64 bytes from 192.168.6.12: icmp_seq=189 ttl=63 time=1.77 ms
1731067865.284704376: 64 bytes from 192.168.6.12: icmp_seq=190 ttl=63 time=2.44 ms
1731067865.785628328: 64 bytes from 192.168.6.12: icmp_seq=191 ttl=63 time=2.05 ms
1731067866.285635110: 64 bytes from 192.168.6.12: icmp_seq=192 ttl=63 time=1.57 ms
1731067866.788747768: 64 bytes from 192.168.6.12: icmp_seq=193 ttl=63 time=2.67 ms
1731067867.290021271: 64 bytes from 192.168.6.12: icmp_seq=194 ttl=63 time=2.19 ms
1731067867.790091561: 64 bytes from 192.168.6.12: icmp_seq=195 ttl=63 time=1.74 ms
1731067868.292893304: 64 bytes from 192.168.6.12: icmp_seq=196 ttl=63 time=3.29 ms
1731067868.792280151: 64 bytes from 192.168.6.12: icmp_seq=197 ttl=63 time=1.52 ms
1731067869.300657506: 64 bytes from 192.168.6.12: icmp_seq=198 ttl=63 time=9.05 ms
1731067869.795019454: 64 bytes from 192.168.6.12: icmp_seq=199 ttl=63 time=2.44 ms
1731067870.294562465: 64 bytes from 192.168.6.12: icmp_seq=200 ttl=63 time=1.99 ms
1731067870.796834039: 64 bytes from 192.168.6.12: icmp_seq=201 ttl=63 time=3.13 ms
1731067871.296396441: 64 bytes from 192.168.6.12: icmp_seq=202 ttl=63 time=2.55 ms
1731067871.797635110: 64 bytes from 192.168.6.12: icmp_seq=203 ttl=63 time=2.42 ms
1731067872.298275740: 64 bytes from 192.168.6.12: icmp_seq=204 ttl=63 time=1.93 ms
1731067872.799287673: 64 bytes from 192.168.6.12: icmp_seq=205 ttl=63 time=2.03 ms
1731067873.301036439: 64 bytes from 192.168.6.12: icmp_seq=206 ttl=63 time=2.74 ms
1731067873.805314034: 64 bytes from 192.168.6.12: icmp_seq=207 ttl=63 time=6.06 ms
1731067874.302126529: 64 bytes from 192.168.6.12: icmp_seq=208 ttl=63 time=1.76 ms
1731067874.802786474: 64 bytes from 192.168.6.12: icmp_seq=209 ttl=63 time=1.92 ms
1731067875.302576378: 64 bytes from 192.168.6.12: icmp_seq=210 ttl=63 time=1.81 ms
1731067875.803061947: 64 bytes from 192.168.6.12: icmp_seq=211 ttl=63 time=2.43 ms
1731067876.303926762: 64 bytes from 192.168.6.12: icmp_seq=212 ttl=63 time=1.48 ms
1731067876.805610487: 64 bytes from 192.168.6.12: icmp_seq=213 ttl=63 time=2.16 ms
1731067877.306454853: 64 bytes from 192.168.6.12: icmp_seq=214 ttl=63 time=2.61 ms
1731067877.807922938: 64 bytes from 192.168.6.12: icmp_seq=215 ttl=63 time=1.80 ms
1731067878.310846434: 64 bytes from 192.168.6.12: icmp_seq=216 ttl=63 time=4.95 ms
1731067878.807035687: 64 bytes from 192.168.6.12: icmp_seq=217 ttl=63 time=1.70 ms
1731067879.308871277: 64 bytes from 192.168.6.12: icmp_seq=218 ttl=63 time=1.59 ms
1731067879.810433461: 64 bytes from 192.168.6.12: icmp_seq=219 ttl=63 time=2.15 ms
1731067880.310973003: 64 bytes from 192.168.6.12: icmp_seq=220 ttl=63 time=1.84 ms
1731067880.812753721: 64 bytes from 192.168.6.12: icmp_seq=221 ttl=63 time=1.97 ms
1731067881.312257148: 64 bytes from 192.168.6.12: icmp_seq=222 ttl=63 time=1.58 ms
1731067881.814160186: 64 bytes from 192.168.6.12: icmp_seq=223 ttl=63 time=1.82 ms
1731067882.316264610: 64 bytes from 192.168.6.12: icmp_seq=224 ttl=63 time=1.96 ms
1731067882.816580549: 64 bytes from 192.168.6.12: icmp_seq=225 ttl=63 time=1.60 ms
1731067883.323746219: 64 bytes from 192.168.6.12: icmp_seq=226 ttl=63 time=7.70 ms
1731067883.819059704: 64 bytes from 192.168.6.12: icmp_seq=227 ttl=63 time=2.32 ms
1731067884.319949705: 64 bytes from 192.168.6.12: icmp_seq=228 ttl=63 time=1.94 ms
1731067884.821363721: 64 bytes from 192.168.6.12: icmp_seq=229 ttl=63 time=2.36 ms
1731067885.321852544: 64 bytes from 192.168.6.12: icmp_seq=230 ttl=63 time=1.93 ms
1731067885.822294726: 64 bytes from 192.168.6.12: icmp_seq=231 ttl=63 time=1.71 ms
