Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731070861.05,7.68,0.936,0.0,1.65,11426.4628762,11426.2384159,0.0,5802.47,6172.61,0.0,7696.096894134083
1731070861.55,8.32,0.658,0.0,1.93,11426.5971545,11426.0724327,0.0,5802.6,6172.8,0.0,7695.8570182917165
1731070862.05,7.68,1.135,0.0,3.07,11426.2394277,11426.4039625,0.0,5802.73,6172.99,0.0,7695.597218203455
1731070862.55,8.32,0.932,0.0,1.84,11426.6197705,11426.5648837,0.0,5802.86,6173.18,0.0,7695.760306336332
1731070863.05,7.68,0.522,0.0,1.76,11426.5234007,11426.8683017,0.0,5802.99,6173.37,0.0,7695.672310770079
1731070863.55,8.32,1.08,0.0,10.5,11427.0057875,11426.6695485,0.0,5803.12,6173.56,0.0,7695.664446906867
1731070864.05,7.68,0.84,0.0,1.53,11427.239907,11427.2796304,0.0,5803.25,6173.75,0.0,7696.027290201655
1731070864.55,8.32,1.164,0.0,1.74,11427.2774273,11427.6095946,0.0,5803.38,6173.94,0.0,7696.055254610383
1731070865.05,7.69,0.558,0.0,2.93,11427.5560294,11427.2188177,0.0,5803.51,6174.13,0.0,7695.767399516094
1731070865.55,8.31,0.761,0.0,1.6,11427.7749517,11427.8083378,0.0,5803.64,6174.32,0.0,7696.105097407009
1731070866.05,7.67,1.254,0.0,1.96,11427.920881,11428.0954269,0.0,5803.77,6174.51,0.0,7696.183013025946
1731070866.55,8.33,0.992,0.0,1.94,11428.1292558,11427.8761328,0.0,5803.9,6174.7,0.0,7695.960901928764
1731070867.05,7.68,1.339,0.0,1.96,11428.0656368,11428.0245762,0.0,5804.03,6174.89,0.0,7695.791039241147
1731070867.55,8.32,0.774,0.0,1.89,11427.9689485,11428.020165,0.0,5804.16,6175.08,0.0,7695.492672097018
1731070868.05,7.68,0.618,0.0,8.29,11428.4740306,11428.2439986,0.0,5804.29,6175.27,0.0,7695.789877590457
1731070868.55,7.68,0.585,0.0,2.43,11428.508353,11428.3386088,0.0,5804.42,6175.46,0.0,7695.654844205194
1731070869.05,8.32,0.645,0.0,1.76,11428.9417725,11428.5905131,0.0,5804.55,6175.65,0.0,7695.91884343468
1731070869.55,8.32,1.577,0.0,1.69,11428.9162404,11428.6794466,0.0,5804.68,6175.84,0.0,7695.736192177179
1731070870.05,7.66,0.793,0.0,3.37,11428.799085,11429.2467436,0.0,5804.81,6176.03,0.0,7695.813107361595
1731070870.55,8.34,0.666,0.0,2.1,11428.8712713,11428.8949142,0.0,5804.94,6176.22,0.0,7695.401009601255
1731070871.05,7.68,0.545,0.0,2.04,11428.9901744,11428.8557021,0.0,5805.07,6176.41,0.0,7695.236447409013
1731070871.55,8.32,0.676,0.0,1.7,11429.2657405,11429.0698603,0.0,5805.2,6176.6,0.0,7695.359321488876
1731070872.05,7.68,1.0,0.0,1.45,11429.8441044,11429.7632096,0.0,5805.33,6176.79,0.0,7696.030564607307
1731070872.55,8.32,0.873,0.0,4.2,11429.489353,11429.9629629,0.0,5805.46,6176.98,0.0,7695.682956822173
1731070873.05,7.68,0.673,0.0,1.89,11430.1569444,11429.8588917,0.0,5805.59,6177.17,0.0,7695.875122754119
1731070873.55,8.32,0.502,0.0,2.06,11430.1410858,11430.1652516,0.0,5805.72,6177.36,0.0,7695.84794299031
1731070874.05,7.68,0.707,0.0,2.1,11430.2281124,11430.4123741,0.0,5805.85,6177.55,0.0,7695.855525702108
1731070874.55,8.33,0.676,0.0,1.67,11430.0297571,11430.3302792,0.0,5805.98,6177.74,0.0,7695.429832795754
1731070875.05,7.68,0.754,0.0,3.73,11430.249398,11430.0650197,0.0,5806.11,6177.93,0.0,7695.184613334168
1731070875.55,8.32,0.637,0.0,2.06,11430.9208244,11430.7967061,0.0,5806.24,6178.12,0.0,7695.950035907108
1731070876.05,7.68,0.599,0.0,1.85,11430.6088989,11430.6464319,0.0,5806.37,6178.31,0.0,7695.3948037617865
1731070876.55,8.32,1.135,0.0,2.75,11431.2011731,11430.9554336,0.0,5806.5,6178.5,0.0,7695.813886043937
1731070877.05,7.68,1.006,0.0,4.22,11431.0460803,11430.9909508,0.0,5806.63,6178.69,0.0,7695.500082652966
1731070877.55,8.32,1.662,0.0,2.2,11431.2584836,11431.0361974,0.0,5806.76,6178.88,0.0,7695.461514029287
1731070878.05,7.68,1.397,0.0,2.84,11431.013134,11431.2029722,0.0,5806.89,6179.07,0.0,7695.171329091017
1731070878.55,8.32,1.096,0.0,1.74,11431.7639786,11431.5760681,0.0,5807.02,6179.26,0.0,7695.7500546742285
1731070879.05,7.69,1.519,0.0,2.74,11431.581791,11431.9495922,0.0,5807.15,6179.45,0.0,7695.6471422273935
1731070879.55,8.31,1.04,0.0,1.92,11431.9833331,11431.5222759,0.0,5807.28,6179.64,0.0,7695.424291440911
1731070880.05,7.69,1.17,0.0,2.31,11431.8474981,11431.7332982,0.0,5807.41,6179.83,0.0,7695.244338140111
1731070880.55,8.32,0.853,0.0,2.49,11432.2950133,11432.1111533,0.0,5807.54,6180.02,0.0,7695.604618365967
1731070881.05,7.68,0.435,0.0,2.33,11432.2672923,11431.8927836,0.0,5807.67,6180.21,0.0,7695.210637799925
1731070881.55,8.33,0.889,0.0,2.51,11432.3385178,11432.7156128,0.0,5807.8,6180.4,0.0,7695.599576035546
1731070882.05,7.68,0.427,0.0,8.75,11432.3634301,11432.2823997,0.0,5807.93,6180.59,0.0,7695.097430877219
1731070882.55,8.32,0.905,0.0,2.42,11432.8181763,11432.590268,0.0,5808.06,6180.78,0.0,7695.4152346006595
1731070883.05,7.68,0.836,0.0,2.2,11433.1916876,11432.7354623,0.0,5808.19,6180.97,0.0,7695.562647169469
1731070883.55,8.32,0.51,0.0,1.49,11433.306493,11432.9120784,0.0,5808.32,6181.16,0.0,7695.542407095888
1731070884.05,7.68,1.463,0.0,1.5,11433.2396129,11433.3679463,0.0,5808.45,6181.35,0.0,7695.579945504109
1731070884.55,8.32,0.762,0.0,2.42,11433.1561034,11433.5912979,0.0,5808.58,6181.54,0.0,7695.44665232054
1731070885.05,7.68,1.112,0.0,1.81,11433.0609778,11433.3541801,0.0,5808.71,6181.73,0.0,7694.990607563521
1731070885.55,7.68,0.616,0.0,1.4,11433.6334168,11433.4072427,0.0,5808.84,6181.92,0.0,7695.220545372137
1731070886.05,8.32,0.53,0.0,3.19,11433.9728358,11433.8269141,0.0,5808.97,6182.11,0.0,7695.530355251811
1731070886.55,8.32,1.217,0.0,5.11,11433.5858625,11433.8942246,0.0,5809.1,6182.3,0.0,7695.068753254544
1731070887.05,7.68,0.606,0.0,7.03,11434.086388,11433.8155249,0.0,5809.23,6182.49,0.0,7695.156213754901
1731070887.55,8.32,1.239,0.0,1.91,11434.5164491,11434.5070662,0.0,5809.36,6182.68,0.0,7695.717809933146
1731070888.05,7.68,0.619,0.0,1.62,11434.268977,11434.0999882,0.0,5809.49,6182.87,0.0,7695.03443326098
1731070888.55,8.32,0.65,0.0,1.655,11434.256254,11434.8043556,0.0,5809.62,6183.06,0.0,7695.281136280051
