Time,S1_X,S1_Y,S1_Z
1731070258.1,11245.8965263,11245.4791138,0.0
1731070258.6,11246.1778641,11246.042477,0.0
1731070259.1,11246.2625984,11245.8148854,0.0
1731070259.6,11245.9757161,11246.400792,0.0
1731070260.1,11246.3843659,11246.4294476,0.0
1731070260.6,11246.2625636,11246.8011123,0.0
1731070261.1,11246.3055458,11246.4528792,0.0
1731070261.6,11246.4881363,11247.136494,0.0
1731070262.1,11246.6684705,11247.3478085,0.0
1731070262.6,11247.2293184,11246.8145854,0.0
1731070263.1,11247.2758182,11247.6113852,0.0
1731070263.6,11247.7997966,11247.5555287,0.0
1731070264.1,11247.7728647,11247.7135064,0.0
1731070264.6,11247.4923834,11247.6070191,0.0
1731070265.1,11247.8693553,11247.9935042,0.0
1731070265.6,11247.7384839,11247.6619906,0.0
1731070266.1,11248.4340391,11248.3306652,0.0
1731070266.6,11248.1132033,11248.1497927,0.0
1731070267.11,11248.4990088,11248.1172966,0.0
1731070267.61,11248.7007968,11248.3271807,0.0
1731070268.11,11248.942919,11248.7961836,0.0
1731070268.61,11248.5862685,11248.8894414,0.0
1731070269.11,11249.0958635,11249.2003329,0.0
1731070269.61,11249.5651325,11249.0997938,0.0
1731070270.11,11249.6582935,11249.2351294,0.0
1731070270.61,11249.8344497,11249.2350317,0.0
1731070271.11,11249.6143851,11249.6312443,0.0
1731070271.61,11249.8385433,11249.6889702,0.0
1731070272.11,11250.0509933,11249.9947433,0.0
1731070272.61,11250.2277076,11250.3402699,0.0
1731070273.11,11250.4509223,11250.0651993,0.0
1731070273.61,11250.4178209,11250.2287834,0.0
1731070274.11,11250.7891276,11250.5846767,0.0
1731070274.61,11251.0856025,11250.5143354,0.0
1731070275.11,11250.7611252,11250.6771577,0.0
1731070275.62,11251.2176185,11250.9898365,0.0
1731070276.11,11251.4035086,11251.5197482,0.0
1731070276.61,11251.1766265,11251.1573382,0.0
1731070277.12,11251.5915933,11251.6612462,0.0
1731070277.62,11251.8060409,11251.3387265,0.0
1731070278.12,11251.6823915,11251.6926934,0.0
