['time', 'x', 'y', 'z']
['1731067998.61', '5059.65', '5086.95', '0.0']
['1731067999.11', '5059.78', '5087.14', '0.0']
['1731067999.61', '5059.91', '5087.33', '0.0']
['1731068000.11', '5060.04', '5087.52', '0.0']
['1731068000.61', '5060.17', '5087.71', '0.0']
['1731068001.11', '5060.3', '5087.9', '0.0']
['1731068001.61', '5060.43', '5088.09', '0.0']
['1731068002.11', '5060.56', '5088.28', '0.0']
['1731068002.61', '5060.69', '5088.47', '0.0']
['1731068003.11', '5060.82', '5088.66', '0.0']
['1731068003.61', '5060.95', '5088.85', '0.0']
['1731068004.11', '5061.08', '5089.04', '0.0']
['1731068004.61', '5061.21', '5089.23', '0.0']
['1731068005.11', '5061.34', '5089.42', '0.0']
['1731068005.61', '5061.47', '5089.61', '0.0']
['1731068006.11', '5061.6', '5089.8', '0.0']
['1731068006.61', '5061.73', '5089.99', '0.0']
['1731068007.11', '5061.86', '5090.18', '0.0']
['1731068007.61', '5061.99', '5090.37', '0.0']
['1731068008.12', '5062.12', '5090.56', '0.0']
['1731068008.62', '5062.25', '5090.75', '0.0']
['1731068009.12', '5062.38', '5090.94', '0.0']
['1731068009.62', '5062.51', '5091.13', '0.0']
['1731068010.12', '5062.64', '5091.32', '0.0']
['1731068010.62', '5062.77', '5091.51', '0.0']
['1731068011.12', '5062.9', '5091.7', '0.0']
['1731068011.62', '5063.03', '5091.89', '0.0']
['1731068012.12', '5063.16', '5092.08', '0.0']
['1731068012.62', '5063.29', '5092.27', '0.0']
['1731068013.12', '5063.42', '5092.46', '0.0']
['1731068013.62', '5063.55', '5092.65', '0.0']
['1731068014.12', '5063.68', '5092.84', '0.0']
['1731068014.62', '5063.81', '5093.03', '0.0']
['1731068015.12', '5063.94', '5093.22', '0.0']
['1731068015.62', '5064.07', '5093.41', '0.0']
['1731068016.12', '5064.2', '5093.6', '0.0']
['1731068016.62', '5064.33', '5093.79', '0.0']
['1731068017.12', '5064.46', '5093.98', '0.0']
['1731068017.62', '5064.59', '5094.17', '0.0']
['1731068018.12', '5064.72', '5094.36', '0.0']
['1731068018.62', '5064.85', '5094.55', '0.0']
['1731068019.13', '5064.98', '5094.74', '0.0']
['1731068019.63', '5065.11', '5094.93', '0.0']
['1731068020.13', '5065.24', '5095.12', '0.0']
['1731068020.63', '5065.37', '5095.31', '0.0']
['1731068021.13', '5065.5', '5095.5', '0.0']
['1731068021.63', '5065.63', '5095.69', '0.0']
['1731068022.13', '5065.76', '5095.88', '0.0']
['1731068022.63', '5065.89', '5096.07', '0.0']
['1731068023.13', '5066.02', '5096.26', '0.0']
['1731068023.63', '5066.15', '5096.45', '0.0']
['1731068024.13', '5066.28', '5096.64', '0.0']
['1731068024.63', '5066.41', '5096.83', '0.0']
['1731068025.13', '5066.54', '5097.02', '0.0']
['1731068025.63', '5066.67', '5097.21', '0.0']
['1731068026.13', '5066.8', '5097.4', '0.0']
['1731068026.63', '5066.93', '5097.59', '0.0']
['1731068027.13', '5067.06', '5097.78', '0.0']
['1731068027.63', '5067.19', '5097.97', '0.0']
['1731068028.13', '5067.32', '5098.16', '0.0']
['1731068028.64', '5067.45', '5098.35', '0.0']
['1731068029.13', '5067.58', '5098.54', '0.0']
['1731068029.64', '5067.71', '5098.73', '0.0']
['1731068030.14', '5067.84', '5098.92', '0.0']
['1731068030.64', '5067.97', '5099.11', '0.0']
['1731068031.14', '5068.1', '5099.3', '0.0']
['1731068031.64', '5068.23', '5099.49', '0.0']
['1731068032.14', '5068.36', '5099.68', '0.0']
['1731068032.64', '5068.49', '5099.87', '0.0']
['1731068033.14', '5068.62', '5100.06', '0.0']
['1731068033.64', '5068.75', '5100.25', '0.0']
['1731068034.14', '5068.88', '5100.44', '0.0']
['1731068034.64', '5069.01', '5100.63', '0.0']
['1731068035.14', '5069.14', '5100.82', '0.0']
['1731068035.64', '5069.27', '5101.01', '0.0']
['1731068036.14', '5069.4', '5101.2', '0.0']
['1731068036.64', '5069.53', '5101.39', '0.0']
['1731068037.14', '5069.66', '5101.58', '0.0']
['1731068037.64', '5069.79', '5101.77', '0.0']
['1731068038.14', '5069.92', '5101.96', '0.0']
