Time,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance
1731068811.31,39.7,0.771,0.0,1.89,7749.827991859808,19.8,0.409,0.0,0.877,4276.719834288891,19.8,0.555,0.0,4.98,4644.381628645518,19.8,0.455,0.0,7.37,4177.744499727096
1731068811.81,40.3,0.951,0.0,2.13,7750.152873649681,20.5,0.412,0.0,0.858,4276.626009601494,20.5,0.85,0.0,1.91,4644.334308595798,20.5,0.666,0.0,0.88,4177.619250242893
1731068812.31,39.7,0.943,0.0,1.62,7750.163977143225,19.2,0.465,0.032,1.13,4276.532184960145,19.8,0.691,0.0,1.6,4644.286988602233,19.8,0.539,0.0,1.07,4177.494017350593
1731068812.81,40.3,1.215,0.0,1.73,7749.721978021639,19.8,0.606,0.0,1.34,4276.438360364849,19.8,0.569,0.0,2.33,4644.239668664829,19.8,0.525,0.0,1.4,4177.368801051686
1731068813.31,39.7,1.138,0.0,3.36,7749.645415156611,19.8,0.545,0.0,0.943,4276.344535815607,19.9,0.554,0.0,1.85,4644.192348783586,19.8,0.592,0.0,0.896,4177.2436013476645
1731068813.81,39.7,0.753,0.0,1.59,7749.580841782334,20.5,0.496,0.0,0.865,4276.250711312423,20.5,0.641,0.0,1.65,4644.145028958505,20.5,0.64,0.0,1.03,4177.11841824002
1731068814.31,40.3,0.765,0.0,1.81,7749.462616770056,19.8,0.547,0.0,0.66,4276.156886855298,19.8,0.633,0.0,1.65,4644.09770918959,19.8,0.688,0.0,1.47,4176.993251730243
1731068814.81,40.3,1.01,0.0,1.91,7749.600379836392,19.8,0.582,0.0,1.01,4276.063062444238,19.8,0.776,0.0,2.21,4644.050389476842,19.8,0.64,0.0,0.862,4176.868101819831
1731068815.31,39.7,0.849,0.0,2.32,7749.654732909232,19.9,0.71,0.0,1.52,4275.969238079246,19.8,0.696,0.0,1.69,4644.003069820261,19.8,0.612,0.0,1.1,4176.7429685102725
1731068815.81,40.3,1.267,0.0,1.79,7749.385549409283,20.5,0.581,0.0,0.79,4275.875413760322,20.5,0.583,0.0,1.66,4643.955750219849,20.5,0.715,0.0,0.79,4176.617851803059
1731068816.31,39.7,1.013,0.0,1.57,7749.412955373839,19.8,0.6,0.0,1.09,4275.781589487471,19.8,0.616,0.0,7.23,4643.9084306756085,19.8,0.665,0.0,1.52,4176.492751699685
1731068816.81,40.3,1.193,0.0,1.81,7750.096350009648,19.9,1.026,0.0,2.3,4275.687765260695,19.8,0.564,0.0,1.61,4643.861111187543,19.8,0.585,0.0,2.21,4176.367668201639
1731068817.31,39.7,1.251,0.0,2.0,7749.541832539471,19.8,0.95,0.0,3.27,4275.593941079999,19.9,0.514,0.0,1.81,4643.813791755651,19.8,0.534,0.0,3.14,4176.242601310417
1731068817.81,39.7,0.922,0.0,1.82,7750.078728712752,20.5,0.704,0.0,1.16,4275.500116945384,20.5,0.648,0.0,2.11,4643.766472379936,20.5,0.45,0.0,1.23,4176.117551027509
1731068818.31,40.3,0.623,0.0,9.72,7749.588446294741,19.8,0.754,0.0,0.893,4275.406292856856,19.8,0.799,0.0,2.44,4643.7191530604,19.8,0.306,0.0,1.05,4175.992517354408
1731068818.81,39.7,0.6,0.0,1.57,7749.672757702119,19.9,0.806,0.0,0.79,4275.312468814415,19.8,0.566,0.0,1.76,4643.671833797043,19.8,0.25,0.0,2.56,4175.867500292605
1731068819.31,40.3,1.27,0.0,2.36,7749.44245661575,19.8,0.651,0.0,0.811,4275.218644818063,19.8,0.568,0.0,1.69,4643.62451458987,19.8,0.315,0.0,1.08,4175.742499843589
1731068819.81,40.3,0.708,0.0,2.11,7749.6359432393565,19.8,0.697,0.0,0.849,4275.124820867807,19.8,0.651,0.0,1.92,4643.577195438879,20.5,0.406,0.0,1.16,4175.61751600886
1731068820.31,39.7,0.755,0.0,1.74,7749.692648349622,20.5,0.521,0.0,1.03,4275.030996963647,20.5,0.686,0.0,2.33,4643.529876344072,19.8,0.449,0.0,0.911,4175.492548789903
1731068820.81,40.3,0.851,0.0,2.0,7749.368044987421,19.8,0.59,0.0,0.804,4274.937173105589,19.8,0.693,0.0,7.86,4643.482557305454,19.8,0.762,0.0,0.868,4175.3675981882125
1731068821.31,39.7,0.929,0.0,2.12,7749.324157720601,19.8,0.571,0.0,1.01,4274.843349293633,19.8,0.753,0.0,1.78,4643.435238323023,19.9,0.371,0.0,0.825,4175.242664205281
1731068821.81,39.7,1.292,0.016,1.7,7749.435469214929,20.5,0.624,0.0,1.4,4274.749525527782,20.5,0.801,0.0,2.56,4643.387919396786,19.8,0.401,0.0,0.792,4175.117746842596
1731068822.31,39.0,0.479,0.0,2.21,7749.202088054255,19.8,0.631,0.0,0.823,4274.655701808041,19.8,0.764,0.0,2.3,4643.340600526737,20.5,0.388,0.0,1.09,4174.992846101655
1731068822.81,41.0,0.418,0.0,7.96,7749.363964088287,19.9,0.628,0.0,1.0,4274.561878134413,19.8,0.757,0.0,1.9,4643.293281712884,19.8,0.553,0.0,1.31,4174.867961983948
1731068823.31,39.7,0.5,0.0,1.75,7749.853827220846,19.8,0.704,0.0,1.33,4274.4680545069,19.8,0.895,0.0,1.75,4643.245962955225,19.8,0.418,0.0,0.714,4174.743094490966
1731068823.81,40.3,0.411,0.0,2.34,7749.081347862878,20.5,0.802,0.0,0.842,4274.374230925505,20.5,0.769,0.0,1.74,4643.198644253764,20.5,0.377,0.0,5.14,4174.618243624201
1731068824.31,39.7,0.643,0.0,1.92,7749.802754316187,19.8,0.698,0.0,0.984,4274.280407390231,19.8,0.957,0.0,1.98,4643.1513256085045,19.8,0.448,0.0,1.09,4174.493409385143
1731068824.81,40.4,0.601,0.0,1.66,7749.741711720911,19.9,0.958,0.0,1.41,4274.186583901081,19.8,0.817,0.0,1.74,4643.104007019442,19.9,0.456,0.0,0.946,4174.368591775287
1731068825.31,39.6,0.598,0.0,1.67,7749.400947599564,19.8,0.985,0.0,0.817,4274.09276045806,19.8,0.477,0.0,4.11,4643.056688486584,19.8,0.563,0.0,0.743,4174.243790796125
1731068825.81,39.7,0.687,0.016,2.27,7749.693643169204,19.9,0.823,0.031,4.92,4273.998937061169,20.5,0.578,0.0,1.9,4643.009370009929,20.5,0.487,0.0,1.19,4174.119006449146
1731068826.31,39.7,0.572,0.0,1.91,7749.177311489644,19.8,0.942,0.0,1.52,4273.905113710412,19.8,0.463,0.0,1.79,4642.96205158948,19.8,0.436,0.0,0.985,4173.994238735843
1731068826.81,40.3,0.486,0.0,1.82,7749.800626318554,19.8,1.014,0.0,0.876,4273.811290405789,19.8,0.43,0.0,1.81,4642.9147332252405,19.8,0.498,0.0,0.857,4173.869487657705
1731068827.31,39.0,0.767,0.016,4.86,7749.236678576796,19.8,0.979,0.0,1.05,4273.717467147308,19.2,0.663,0.032,2.39,4642.867414917208,19.8,0.74,0.0,1.02,4173.744753216229
1731068827.81,40.3,0.611,0.0,2.42,7749.329921722749,20.5,0.96,0.0,1.12,4273.623643934969,20.5,0.462,0.0,2.35,4642.820096665388,19.9,0.671,0.0,1.49,4173.620035412902
1731068828.31,39.7,0.818,0.0,1.7,7749.730957800025,19.2,0.434,0.0,1.05,4273.529820768776,19.8,0.36,0.0,2.03,4642.772778469779,20.5,0.731,0.0,0.914,4173.495334249219
1731068828.81,40.3,0.663,0.0,1.82,7749.255381593528,20.5,0.62,0.0,1.09,4273.435997648731,19.8,0.346,0.0,1.64,4642.725460330386,19.8,0.614,0.0,1.91,4173.370649726669
1731068829.31,39.7,0.868,0.0,1.71,7749.57822197292,19.9,0.4,0.0,0.807,4273.3421745748365,19.8,0.429,0.0,1.75,4642.67814224721,19.8,0.638,0.0,0.844,4173.245981846744
1731068829.81,40.3,0.835,0.0,1.84,7749.457198258627,19.8,0.394,0.0,1.02,4273.2483515470985,20.5,0.432,0.0,2.58,4642.63082422025,19.8,0.413,0.0,1.24,4173.121330610938
1731068830.31,39.7,0.999,0.0,1.57,7749.267632380958,20.5,0.494,0.0,1.2,4273.154528565518,19.8,0.568,0.0,8.32,4642.583506249511,20.5,0.515,0.0,1.0,4172.996696020738
1731068830.81,39.7,0.596,0.0,1.59,7749.366703341799,19.8,0.572,0.0,1.04,4273.0607056301,19.8,0.559,0.0,1.4,4642.536188334992,19.8,0.43,0.0,1.34,4172.87207807764
1731068831.31,40.3,0.696,0.0,1.75,7749.105228314786,19.8,0.445,0.0,1.99,4272.966882740844,19.9,0.518,0.0,1.94,4642.488870476697,19.9,0.462,0.0,0.85,4172.747476783134
1731068831.81,40.3,0.612,0.0,1.99,7749.161741655509,19.8,0.513,0.0,0.717,4272.873059897754,20.5,0.512,0.0,1.73,4642.441552674628,19.8,0.418,0.0,1.02,4172.622892138707
1731068832.31,39.7,0.759,0.0,9.57,7748.960087830935,20.5,0.466,0.0,1.6,4272.779237100835,19.8,0.613,0.0,1.98,4642.394234928784,20.5,0.45,0.0,0.967,4172.4983241458585
