Time,F2_X,F2_Y,F2_Z
1731070073.41,6959.7,10189.55,0.0
1731070073.91,6959.8,10189.7,0.0
1731070074.41,6959.9,10189.85,0.0
1731070074.91,6960.0,10190.0,0.0
1731070075.41,6960.1,10190.15,0.0
1731070075.92,6960.2,10190.3,0.0
1731070076.41,6960.3,10190.45,0.0
1731070076.92,6960.4,10190.6,0.0
1731070077.42,6960.5,10190.75,0.0
1731070077.92,6960.6,10190.9,0.0
1731070078.42,6960.7,10191.05,0.0
1731070078.92,6960.8,10191.2,0.0
1731070079.42,6960.9,10191.35,0.0
1731070079.92,6961.0,10191.5,0.0
1731070080.42,6961.1,10191.65,0.0
1731070080.92,6961.2,10191.8,0.0
1731070081.42,6961.3,10191.95,0.0
1731070081.92,6961.4,10192.1,0.0
1731070082.42,6961.5,10192.25,0.0
1731070082.92,6961.6,10192.4,0.0
1731070083.42,6961.7,10192.55,0.0
1731070083.92,6961.8,10192.7,0.0
1731070084.42,6961.9,10192.85,0.0
1731070084.92,6962.0,10193.0,0.0
1731070085.42,6962.1,10193.15,0.0
1731070085.92,6962.2,10193.3,0.0
1731070086.42,6962.3,10193.45,0.0
1731070086.92,6962.4,10193.6,0.0
1731070087.42,6962.5,10193.75,0.0
1731070087.93,6962.6,10193.9,0.0
1731070088.43,6962.7,10194.05,0.0
1731070088.93,6962.8,10194.2,0.0
1731070089.43,6962.9,10194.35,0.0
1731070089.93,6963.0,10194.5,0.0
1731070090.43,6963.1,10194.65,0.0
1731070090.93,6963.2,10194.8,0.0
1731070091.43,6963.3,10194.95,0.0
1731070091.93,6963.4,10195.1,0.0
1731070092.43,6963.5,10195.25,0.0
1731070092.93,6963.6,10195.4,0.0
1731070093.43,6963.7,10195.55,0.0
1731070093.93,6963.8,10195.7,0.0
1731070094.43,6963.9,10195.85,0.0
1731070094.93,6964.0,10196.0,0.0
1731070095.43,6964.1,10196.15,0.0
1731070095.93,6964.2,10196.3,0.0
1731070096.43,6964.3,10196.45,0.0
1731070096.93,6964.4,10196.6,0.0
1731070097.44,6964.5,10196.75,0.0
1731070097.94,6964.6,10196.9,0.0
1731070098.44,6964.7,10197.05,0.0
1731070098.94,6964.8,10197.2,0.0
1731070099.44,6964.9,10197.35,0.0
1731070099.94,6965.0,10197.5,0.0
1731070100.44,6965.1,10197.65,0.0
1731070100.94,6965.2,10197.8,0.0
1731070101.44,6965.3,10197.95,0.0
1731070101.94,6965.4,10198.1,0.0
1731070102.44,6965.5,10198.25,0.0
1731070102.94,6965.6,10198.4,0.0
1731070103.44,6965.7,10198.55,0.0
1731070103.94,6965.8,10198.7,0.0
1731070104.44,6965.9,10198.85,0.0
1731070104.94,6966.0,10199.0,0.0
