1731067770.372035904: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067853.532607297: 64 bytes from 192.168.6.21: icmp_seq=167 ttl=63 time=1.97 ms
1731067854.041813835: 64 bytes from 192.168.6.21: icmp_seq=168 ttl=63 time=9.97 ms
1731067854.534531605: 64 bytes from 192.168.6.21: icmp_seq=169 ttl=63 time=2.62 ms
1731067855.034433959: 64 bytes from 192.168.6.21: icmp_seq=170 ttl=63 time=1.89 ms
1731067855.535243806: 64 bytes from 192.168.6.21: icmp_seq=171 ttl=63 time=1.76 ms
1731067856.037641706: 64 bytes from 192.168.6.21: icmp_seq=172 ttl=63 time=2.13 ms
1731067856.538294291: 64 bytes from 192.168.6.21: icmp_seq=173 ttl=63 time=2.37 ms
1731067857.038842452: 64 bytes from 192.168.6.21: icmp_seq=174 ttl=63 time=1.71 ms
1731067857.540737584: 64 bytes from 192.168.6.21: icmp_seq=175 ttl=63 time=2.64 ms
1731067858.041248806: 64 bytes from 192.168.6.21: icmp_seq=176 ttl=63 time=2.07 ms
1731067858.546608239: 64 bytes from 192.168.6.21: icmp_seq=177 ttl=63 time=5.94 ms
1731067859.042564526: 64 bytes from 192.168.6.21: icmp_seq=178 ttl=63 time=2.23 ms
1731067859.542030595: 64 bytes from 192.168.6.21: icmp_seq=179 ttl=63 time=1.60 ms
1731067860.043837632: 64 bytes from 192.168.6.21: icmp_seq=180 ttl=63 time=2.17 ms
1731067860.544719699: 64 bytes from 192.168.6.21: icmp_seq=181 ttl=63 time=1.87 ms
1731067861.045848851: 64 bytes from 192.168.6.21: icmp_seq=182 ttl=63 time=1.85 ms
1731067861.547450135: 64 bytes from 192.168.6.21: icmp_seq=183 ttl=63 time=2.26 ms
1731067862.047763387: 64 bytes from 192.168.6.21: icmp_seq=184 ttl=63 time=1.51 ms
1731067862.549513502: 64 bytes from 192.168.6.21: icmp_seq=185 ttl=63 time=2.21 ms
1731067863.054025114: 64 bytes from 192.168.6.21: icmp_seq=186 ttl=63 time=5.01 ms
1731067863.551231432: 64 bytes from 192.168.6.21: icmp_seq=187 ttl=63 time=1.89 ms
1731067864.053650512: 64 bytes from 192.168.6.21: icmp_seq=188 ttl=63 time=2.42 ms
1731067864.554305407: 64 bytes from 192.168.6.21: icmp_seq=189 ttl=63 time=2.16 ms
1731067865.054580420: 64 bytes from 192.168.6.21: icmp_seq=190 ttl=63 time=1.70 ms
1731067865.556745733: 64 bytes from 192.168.6.21: icmp_seq=191 ttl=63 time=2.61 ms
1731067866.057622934: 64 bytes from 192.168.6.21: icmp_seq=192 ttl=63 time=2.20 ms
1731067866.558094199: 64 bytes from 192.168.6.21: icmp_seq=193 ttl=63 time=1.84 ms
1731067867.059955252: 64 bytes from 192.168.6.21: icmp_seq=194 ttl=63 time=2.34 ms
1731067867.560209443: 64 bytes from 192.168.6.21: icmp_seq=195 ttl=63 time=1.56 ms
1731067868.068363994: 64 bytes from 192.168.6.21: icmp_seq=196 ttl=63 time=8.81 ms
1731067868.563082027: 64 bytes from 192.168.6.21: icmp_seq=197 ttl=63 time=1.95 ms
1731067869.063483398: 64 bytes from 192.168.6.21: icmp_seq=198 ttl=63 time=1.71 ms
1731067869.564933803: 64 bytes from 192.168.6.21: icmp_seq=199 ttl=63 time=1.52 ms
1731067870.067771737: 64 bytes from 192.168.6.21: icmp_seq=200 ttl=63 time=2.59 ms
1731067870.567947144: 64 bytes from 192.168.6.21: icmp_seq=201 ttl=63 time=1.51 ms
1731067871.069867885: 64 bytes from 192.168.6.21: icmp_seq=202 ttl=63 time=1.62 ms
1731067871.571482756: 64 bytes from 192.168.6.21: icmp_seq=203 ttl=63 time=2.35 ms
1731067872.070784525: 64 bytes from 192.168.6.21: icmp_seq=204 ttl=63 time=1.75 ms
1731067872.575181682: 64 bytes from 192.168.6.21: icmp_seq=205 ttl=63 time=4.34 ms
1731067873.073500698: 64 bytes from 192.168.6.21: icmp_seq=206 ttl=63 time=1.55 ms
1731067873.574606110: 64 bytes from 192.168.6.21: icmp_seq=207 ttl=63 time=1.83 ms
1731067874.075957123: 64 bytes from 192.168.6.21: icmp_seq=208 ttl=63 time=1.92 ms
1731067874.576338445: 64 bytes from 192.168.6.21: icmp_seq=209 ttl=63 time=1.70 ms
1731067875.077895109: 64 bytes from 192.168.6.21: icmp_seq=210 ttl=63 time=2.20 ms
1731067875.578315445: 64 bytes from 192.168.6.21: icmp_seq=211 ttl=63 time=2.01 ms
1731067876.078627730: 64 bytes from 192.168.6.21: icmp_seq=212 ttl=63 time=1.36 ms
1731067876.580246029: 64 bytes from 192.168.6.21: icmp_seq=213 ttl=63 time=2.35 ms
1731067877.083625053: 64 bytes from 192.168.6.21: icmp_seq=214 ttl=63 time=4.66 ms
1731067877.580775160: 64 bytes from 192.168.6.21: icmp_seq=215 ttl=63 time=1.58 ms
1731067878.082875000: 64 bytes from 192.168.6.21: icmp_seq=216 ttl=63 time=1.94 ms
1731067878.583391780: 64 bytes from 192.168.6.21: icmp_seq=217 ttl=63 time=1.82 ms
1731067879.084249177: 64 bytes from 192.168.6.21: icmp_seq=218 ttl=63 time=1.78 ms
1731067879.585358272: 64 bytes from 192.168.6.21: icmp_seq=219 ttl=63 time=1.81 ms
1731067880.086854513: 64 bytes from 192.168.6.21: icmp_seq=220 ttl=63 time=1.92 ms
1731067880.587980460: 64 bytes from 192.168.6.21: icmp_seq=221 ttl=63 time=2.28 ms
