['time', 'x', 'y', 'z']
['1731067993.6', '6544.5', '9566.75', '0.0']
['1731067994.1', '6544.6', '9566.9', '0.0']
['1731067994.6', '6544.7', '9567.05', '0.0']
['1731067995.1', '6544.8', '9567.2', '0.0']
['1731067995.6', '6544.9', '9567.35', '0.0']
['1731067996.1', '6545.0', '9567.5', '0.0']
['1731067996.6', '6545.1', '9567.65', '0.0']
['1731067997.1', '6545.2', '9567.8', '0.0']
['1731067997.6', '6545.3', '9567.95', '0.0']
['1731067998.1', '6545.4', '9568.1', '0.0']
['1731067998.6', '6545.5', '9568.25', '0.0']
['1731067999.11', '6545.6', '9568.4', '0.0']
['1731067999.61', '6545.7', '9568.55', '0.0']
['1731068000.11', '6545.8', '9568.7', '0.0']
['1731068000.61', '6545.9', '9568.85', '0.0']
['1731068001.11', '6546.0', '9569.0', '0.0']
['1731068001.61', '6546.1', '9569.15', '0.0']
['1731068002.11', '6546.2', '9569.3', '0.0']
['1731068002.61', '6546.3', '9569.45', '0.0']
['1731068003.11', '6546.4', '9569.6', '0.0']
['1731068003.61', '6546.5', '9569.75', '0.0']
['1731068004.11', '6546.6', '9569.9', '0.0']
['1731068004.61', '6546.7', '9570.05', '0.0']
['1731068005.11', '6546.8', '9570.2', '0.0']
['1731068005.61', '6546.9', '9570.35', '0.0']
['1731068006.11', '6547.0', '9570.5', '0.0']
['1731068006.61', '6547.1', '9570.65', '0.0']
['1731068007.11', '6547.2', '9570.8', '0.0']
['1731068007.61', '6547.3', '9570.95', '0.0']
['1731068008.11', '6547.4', '9571.1', '0.0']
['1731068008.61', '6547.5', '9571.25', '0.0']
['1731068009.12', '6547.6', '9571.4', '0.0']
['1731068009.62', '6547.7', '9571.55', '0.0']
['1731068010.12', '6547.8', '9571.7', '0.0']
['1731068010.62', '6547.9', '9571.85', '0.0']
['1731068011.12', '6548.0', '9572.0', '0.0']
['1731068011.62', '6548.1', '9572.15', '0.0']
['1731068012.12', '6548.2', '9572.3', '0.0']
['1731068012.62', '6548.3', '9572.45', '0.0']
['1731068013.12', '6548.4', '9572.6', '0.0']
['1731068013.62', '6548.5', '9572.75', '0.0']
['1731068014.12', '6548.6', '9572.9', '0.0']
['1731068014.62', '6548.7', '9573.05', '0.0']
['1731068015.12', '6548.8', '9573.2', '0.0']
['1731068015.62', '6548.9', '9573.35', '0.0']
['1731068016.12', '6549.0', '9573.5', '0.0']
['1731068016.62', '6549.1', '9573.65', '0.0']
['1731068017.12', '6549.2', '9573.8', '0.0']
['1731068017.62', '6549.3', '9573.95', '0.0']
['1731068018.12', '6549.4', '9574.1', '0.0']
['1731068018.62', '6549.5', '9574.25', '0.0']
['1731068019.12', '6549.6', '9574.4', '0.0']
['1731068019.62', '6549.7', '9574.55', '0.0']
['1731068020.12', '6549.8', '9574.7', '0.0']
['1731068020.63', '6549.9', '9574.85', '0.0']
['1731068021.13', '6550.0', '9575.0', '0.0']
['1731068021.63', '6550.1', '9575.15', '0.0']
['1731068022.13', '6550.2', '9575.3', '0.0']
['1731068022.63', '6550.3', '9575.45', '0.0']
['1731068023.13', '6550.4', '9575.6', '0.0']
['1731068023.63', '6550.5', '9575.75', '0.0']
['1731068024.13', '6550.6', '9575.9', '0.0']
['1731068024.63', '6550.7', '9576.05', '0.0']
['1731068025.13', '6550.8', '9576.2', '0.0']
['1731068025.63', '6550.9', '9576.35', '0.0']
['1731068026.13', '6551.0', '9576.5', '0.0']
['1731068026.63', '6551.1', '9576.65', '0.0']
['1731068027.13', '6551.2', '9576.8', '0.0']
['1731068027.63', '6551.3', '9576.95', '0.0']
['1731068028.13', '6551.4', '9577.1', '0.0']
['1731068028.63', '6551.5', '9577.25', '0.0']
['1731068029.13', '6551.6', '9577.4', '0.0']
['1731068029.63', '6551.7', '9577.55', '0.0']
['1731068030.13', '6551.8', '9577.7', '0.0']
['1731068030.63', '6551.9', '9577.85', '0.0']
['1731068031.13', '6552.0', '9578.0', '0.0']
['1731068031.64', '6552.1', '9578.15', '0.0']
['1731068032.14', '6552.2', '9578.3', '0.0']
['1731068032.64', '6552.3', '9578.45', '0.0']
['1731068033.14', '6552.4', '9578.6', '0.0']
['1731068033.64', '6552.5', '9578.75', '0.0']
['1731068034.14', '6552.6', '9578.9', '0.0']
['1731068034.64', '6552.7', '9579.05', '0.0']
['1731068035.14', '6552.8', '9579.2', '0.0']
['1731068035.64', '6552.9', '9579.35', '0.0']
['1731068036.14', '6553.0', '9579.5', '0.0']
['1731068036.64', '6553.1', '9579.65', '0.0']
['1731068037.14', '6553.2', '9579.8', '0.0']
['1731068037.64', '6553.3', '9579.95', '0.0']
['1731068038.14', '6553.4', '9580.1', '0.0']
